addressCity,addressZipcode,homeType,isNonOwnerOccupied,daysOnZillow,area,livingArea,baths,beds,property_condition_grade,corner_lot,school_quality_index,transit_score,hoa_fee_usd,parking,neighborhood_value_index,price_per_sqft_list,taxAssessedValue,zestimate,latitude,longitude,detailUrl,soldPrice
Encinitas,92024,TOWNHOUSE,True,35,1459.0,1459.0,3.0,3.0,2,0,6.9,30,,1,4.4,702.535983550377,440795.0,1026300.0,33.04775,-117.245705,https://www.zillow.com/homedetails/140-Countrywood-Ln-Encinitas-CA-92024/16715643_zpid/,1025000
San Diego,92130,CONDO,True,43,1274.0,1274.0,3.0,2.0,3,0,6.0,81,235.0,0,5.4,781.0047095761381,729378.0,997200.0,32.928867,-117.19886,https://www.zillow.com/homedetails/10667-Golden-Willow-Trl-152-San-Diego-CA-92130/120796715_zpid/,995000
San Marcos,92078,MANUFACTURED,True,53,1440.0,1440.0,2.0,2.0,3,0,4.2,42,,1,2.8,312.5,,449600.0,33.13613,-117.213936,https://www.zillow.com/homedetails/1930-W-San-Marcos-Blvd-SPC-61-San-Marcos-CA-92078/140611030_zpid/,450000
Oceanside,92054,CONDO,True,54,1567.0,1567.0,3.0,3.0,3,0,5.3,42,324.0,1,10.0,1340.1403956604977,1845845.0,2098300.0,33.184746,-117.37579,https://www.zillow.com/homedetails/901-S-Pacific-St-UNIT-301-Oceanside-CA-92054/16583122_zpid/,2100000
San Diego,92131,TOWNHOUSE,True,53,1429.0,1429.0,3.0,2.0,2,0,5.4,82,373.0,1,5.3,580.8257522743177,641144.0,829400.0,32.909447,-117.09631,https://www.zillow.com/homedetails/10372-Ridgewater-Ln-San-Diego-CA-92131/16821630_zpid/,830000
Poway,92064,SINGLE_FAMILY,True,78,2710.0,2710.0,3.0,4.0,3,0,6.3,37,,1,7.0,464.94464944649445,482637.0,1859200.0,33.0108,-117.05375,https://www.zillow.com/homedetails/12830-Avenida-La-Valencia-Poway-CA-92064/16746996_zpid/,1260000
El Cajon,92020,SINGLE_FAMILY,True,67,2264.0,2264.0,2.0,3.0,4,0,4.9,49,,1,2.7,313.6042402826855,498371.0,,32.784397,-116.967384,https://www.zillow.com/homedetails/868-Pearl-Pl-El-Cajon-CA-92020/17030328_zpid/,710000
Vista,92081,CONDO,True,71,934.0,934.0,2.0,2.0,2,0,4.6,45,468.0,1,2.2,572.8051391862955,381813.0,534000.0,33.166306,-117.22932,https://www.zillow.com/homedetails/1067-Shadowridge-Dr-UNIT-42-Vista-CA-92081/16662407_zpid/,535000
San Diego,92130,TOWNHOUSE,True,39,1939.0,1939.0,4.0,4.0,3,0,5.0,91,250.0,1,8.3,768.4373388344508,858093.0,1492100.0,32.952442,-117.23003,https://www.zillow.com/homedetails/12672-Carmel-Country-Rd-UNIT-51-San-Diego-CA-92130/49941888_zpid/,1490000
Spring Valley,91977,SINGLE_FAMILY,True,56,1228.0,1228.0,2.0,3.0,3,0,3.8,33,,1,6.6,684.0390879478828,553655.0,839200.0,32.754547,-116.98634,https://www.zillow.com/homedetails/4130-Conrad-Dr-Spring-Valley-CA-91977/17039189_zpid/,840000
San Diego,92127,CONDO,True,49,1240.0,1240.0,3.0,3.0,3,0,5.6,60,801.0,1,3.1,626.6129032258065,613530.0,776500.0,33.0285,-117.08724,https://www.zillow.com/homedetails/11268-Poblado-Rd-San-Diego-CA-92127/16740044_zpid/,777000
Spring Valley,91977,MULTI_FAMILY,True,62,2758.0,2758.0,4.0,7.0,3,0,4.2,47,,1,8.8,398.83973894126177,610832.0,1098700.0,32.750134,-116.98373,https://www.zillow.com/homedetails/4018-N-Bonita-St-Spring-Valley-CA-91977/295358752_zpid/,1100000
Carlsbad,92011,SINGLE_FAMILY,True,78,2010.0,2010.0,3.0,4.0,4,0,5.6,21,,1,6.7,771.094527363184,1331194.0,1546500.0,33.11073,-117.27622,https://www.zillow.com/homedetails/6698-Spartina-Ct-Carlsbad-CA-92011/439456771_zpid/,1549900
Oceanside,92057,MULTI_FAMILY,True,39,908.0,908.0,2.0,2.0,2,0,3.8,43,80.0,1,3.4,612.3348017621146,270780.0,556800.0,33.22023,-117.32049,https://www.zillow.com/homedetails/3956-San-Pablo-Ave-Oceanside-CA-92057/16600918_zpid/,556000
San Diego,92129,MULTI_FAMILY,True,84,1199.0,1199.0,2.0,2.0,4,0,5.9,74,,1,3.4,729.7748123436197,,872600.0,32.979774,-117.08831,https://www.zillow.com/homedetails/12521-Taylor-Way-San-Diego-CA-92129/448473892_zpid/,875000
